factor,h,window,grp,n_days,ic_mean,ic_std,ic_ir,t_stat,avg_n,pos_share,avg_base_width,prior_coverage
alligator_lips,10,OOS,HIGH,238,-0.03172038808167616,0.23043657103121906,-0.13765344597745618,-2.1236139345684966,5199.638655462185,0.4579831932773109,5351.710084033613,none
alligator_lips,20,IS,total,724,-0.08723166021856522,0.18299454753558522,-0.47668994182245844,-12.826414528601589,4360.50276243094,0.35220994475138123,4639.7790055248615,none
alligator_lips,20,IS,LOW,281,-0.08605075410912436,0.1674802981842644,-0.5137962795746278,-8.612795095102918,4487.871886120996,0.30604982206405695,4735.227758007118,none
alligator_lips,20,IS,MID,280,-0.08923072793114666,0.18981420619281256,-0.4700950983642732,-7.8661955494198335,4264.225,0.375,4588.332142857143,none
alligator_lips,20,IS,HIGH,163,-0.08583347406660255,0.1972521241359496,-0.43514600637428175,-5.555572305239874,4306.312883435583,0.39263803680981596,4563.60736196319,none
alligator_lips,20,OOS,total,639,-0.025946736378439444,0.20194176571922076,-0.1284862310975121,-3.2479326810557603,4924.953051643192,0.4726134585289515,5346.245696400626,none
alligator_lips,20,OOS,LOW,167,-0.0006358206278975631,0.1792829949471843,-0.0035464636681514163,-0.045830410861888486,4601.652694610779,0.49700598802395207,5329.209580838324,none
alligator_lips,20,OOS,MID,236,-0.00760320373265043,0.19028077417453337,-0.03995781373937683,-0.6138435821966803,5067.902542372882,0.5127118644067796,5353.771186440678,none
alligator_lips,20,OOS,HIGH,236,-0.06220095940702714,0.22291231534579126,-0.27903778806719726,-4.286659838614028,5010.779661016949,0.4152542372881356,5350.775423728814,none
alligator_teeth,5,IS,total,722,-0.04493209667815429,0.17818890742804072,-0.2521598977551368,-6.775550998546621,4569.943213296399,0.4376731301939058,4641.783933518005,none
alligator_teeth,5,IS,LOW,280,-0.02335289195534415,0.17469978186451626,-0.1336744196592922,-2.236800869981411,4675.810714285714,0.4857142857142857,4738.15,none
alligator_teeth,5,IS,MID,279,-0.054311715606312365,0.1751404475739444,-0.3101037844692154,-5.179754399839259,4497.612903225807,0.41935483870967744,4590.745519713261,none
alligator_teeth,5,IS,HIGH,163,-0.06594598404889494,0.18631023701515326,-0.35395792043102453,-4.519032212547775,4511.889570552147,0.38650306748466257,4563.60736196319,none
alligator_teeth,5,OOS,total,654,-0.020715982562494274,0.1923994733683667,-0.10767172175586778,-2.7535345615192393,5205.851681957187,0.45871559633027525,5348.909785932722,none
alligator_teeth,5,OOS,LOW,167,-0.011501735461884252,0.18062016179917956,-0.06367913386475826,-0.8229157666437611,5123.976047904192,0.48502994011976047,5329.209580838324,none
alligator_teeth,5,OOS,MID,249,-0.02665199515228721,0.16796999859979822,-0.1586711637462574,-2.5037887316910976,5194.29718875502,0.42971887550200805,5359.44578313253,none
alligator_teeth,5,OOS,HIGH,238,-0.02097107554965156,0.22253734306655898,-0.09423620890170911,-1.4538054237839537,5275.390756302521,0.47058823529411764,5351.710084033613,none
alligator_teeth,10,IS,total,722,-0.0620856427839639,0.18198097918319206,-0.34116556061315106,-9.167138293841031,4500.214681440443,0.3739612188365651,4641.783933518005,none
alligator_teeth,10,IS,LOW,280,-0.04682134559515965,0.17514013710809556,-0.2673364676325551,-4.4733947220595915,4614.603571428572,0.39285714285714285,4738.15,none
alligator_teeth,10,IS,MID,279,-0.06028111542844921,0.1806608642907833,-0.33367002679353697,-5.573388252376781,4412.691756272401,0.3942652329749104,4590.745519713261,none
alligator_teeth,10,IS,HIGH,163,-0.09139525226282147,0.1930859359053604,-0.47333976881474243,-6.0431976212002025,4453.527607361963,0.3067484662576687,4563.60736196319,none
alligator_teeth,10,OOS,total,649,-0.024043071711519457,0.20060336913547697,-0.11985377820490159,-3.0533323385022046,5108.187981510016,0.4514637904468413,5348.050847457627,none
alligator_teeth,10,OOS,LOW,167,0.007751871823819194,0.1926871693461505,0.04023034771917501,0.5198906678910066,4928.934131736527,0.5389221556886228,5329.209580838324,none
alligator_teeth,10,OOS,MID,244,-0.04168632715691644,0.1699512349729786,-0.24528404964838507,-3.8314593385427425,5141.672131147541,0.38524590163934425,5357.377049180328,none
alligator_teeth,10,OOS,HIGH,238,-0.028264925668345882,0.23099156427827328,-0.12236345407962779,-1.8877314281546325,5199.638655462185,0.4579831932773109,5351.710084033613,none
alligator_teeth,20,IS,total,722,-0.08567985302936336,0.18300799758001524,-0.46817545769770086,-12.579901555080076,4361.706371191136,0.3518005540166205,4641.783933518005,none
alligator_teeth,20,IS,LOW,280,-0.08482400172162637,0.16754292713394006,-0.5062821998675892,-8.471721575498945,4489.917857142857,0.3,4738.15,none
alligator_teeth,20,IS,MID,279,-0.08794927590697345,0.189422482512301,-0.46430220288799173,-7.755375776469705,4265.433691756272,0.36917562724014336,4590.745519713261,none
alligator_teeth,20,IS,HIGH,163,-0.0832655547674808,0.19780426087669337,-0.42094924749566764,-5.374320221353443,4306.251533742331,0.4110429447852761,4563.60736196319,none
alligator_teeth,20,OOS,total,639,-0.023121449602062475,0.20130227634601658,-0.1148593549052532,-2.9034663818462465,4924.953051643192,0.48043818466353677,5346.245696400626,none
