col,prior_coverage,norm_class,window,bucket,horizon,ic_mean,ic_std,ic_ir,ic_t,n_days,pct_pos,median_xsec_n
gmma_l50,none,PX,IS,vol_high,20,0.10021,0.12048,0.8317,10.618,163,0.7791,4581
gmma_l50,none,PX,IS,vol_low,5,0.05402,0.12623,0.4279,7.07,273,0.663,4581
gmma_l50,none,PX,IS,vol_low,10,0.05981,0.13325,0.4489,7.417,273,0.6777,4581
gmma_l50,none,PX,IS,vol_low,20,0.07714,0.13821,0.5582,9.223,273,0.707,4581
gmma_l50,none,PX,IS,vol_mid,5,0.04484,0.14576,0.3076,5.239,290,0.5966,4581
gmma_l50,none,PX,IS,vol_mid,10,0.05509,0.14679,0.3753,6.391,290,0.6517,4581
gmma_l50,none,PX,IS,vol_mid,20,0.05427,0.15271,0.3554,6.052,290,0.5897,4581
gmma_l50,none,PX,OOS,overall,5,0.07286,0.17369,0.4195,10.727,654,0.6667,4581
gmma_l50,none,PX,OOS,overall,10,0.08479,0.16878,0.5024,12.799,649,0.6764,4581
gmma_l50,none,PX,OOS,overall,20,0.10059,0.16772,0.5997,15.16,639,0.7449,4581
gmma_l50,none,PX,OOS,vol_high,5,0.0928,0.22776,0.4074,6.286,238,0.6471,4581
gmma_l50,none,PX,OOS,vol_high,10,0.11474,0.21943,0.5229,8.067,238,0.6681,4581
gmma_l50,none,PX,OOS,vol_high,20,0.15521,0.21217,0.7315,11.238,236,0.8008,4581
gmma_l50,none,PX,OOS,vol_low,5,0.04974,0.1311,0.3794,4.859,164,0.6585,4581
gmma_l50,none,PX,OOS,vol_low,10,0.05715,0.11936,0.4788,6.131,164,0.6463,4581
gmma_l50,none,PX,OOS,vol_low,20,0.07393,0.11512,0.6422,8.225,164,0.7561,4581
gmma_l50,none,PX,OOS,vol_mid,5,0.06906,0.13269,0.5205,8.262,252,0.6905,4581
gmma_l50,none,PX,OOS,vol_mid,10,0.0743,0.13311,0.5582,8.773,247,0.7045,4581
gmma_l50,none,PX,OOS,vol_mid,20,0.06494,0.13099,0.4958,7.664,239,0.682,4581
gmma_l60,none,PX,IS,overall,5,0.05252,0.14058,0.3736,10.066,726,0.6309,4581
