trade_date,news_count,sentiment_index,quintile_tier,window
2012-08-30,1193,0.006404,2,exam
2012-08-31,1216,0.002763,1,exam
2012-09-03,5292,0.002449,1,exam
2012-09-04,1987,0.003926,2,exam
2012-09-05,1060,0.010566,4,exam
2012-09-06,1010,0.005426,2,exam
2012-09-07,939,0.020362,5,exam
2012-09-10,3812,0.008793,3,exam
2012-09-11,1076,0.018848,5,exam
2012-09-12,1017,0.017306,5,exam
2012-09-13,1006,0.013917,5,exam
2012-09-14,987,0.013617,4,exam
2012-09-17,3756,0.007732,3,exam
2012-09-18,979,0.01095,4,exam
2012-09-19,965,0.011896,4,exam
2012-09-20,972,0.014198,5,exam
2012-09-21,979,0.007804,3,exam
2012-09-24,3653,0.002617,1,exam
2012-09-25,992,0.010202,4,exam
2012-09-26,950,0.008042,3,exam
2012-09-27,944,0.013644,4,exam
2012-09-28,1036,0.015521,5,exam
2012-10-08,4428,0.00206,1,exam
2012-10-09,2050,0.012449,4,exam
2012-10-10,1651,0.014827,5,exam
2012-10-11,999,0.015055,5,exam
2012-10-12,1046,0.021262,5,exam
2012-10-15,3892,0.006413,2,exam
2012-10-16,1078,0.021336,5,exam
2012-10-17,942,0.018301,5,exam
2012-10-18,1061,0.012441,4,exam
2012-10-19,1063,0.017272,5,exam
2012-10-22,3777,0.004522,2,exam
2012-10-23,1266,0.008152,3,exam
2012-10-24,1459,0.007485,3,exam
2012-10-25,1609,0.005395,2,exam
2012-10-26,1717,0.006034,2,exam
2012-10-29,4268,0.002287,1,exam
2012-10-30,1385,0.006643,2,exam
2012-10-31,1362,0.008311,3,exam
2012-11-01,922,0.011584,4,exam
2012-11-02,857,0.017876,5,exam
2012-11-05,3632,0.004438,2,exam
2012-11-06,935,0.010267,4,exam
2012-11-07,1258,0.008235,3,exam
2012-11-08,2637,0.002184,1,exam
2012-11-09,1335,0.001798,1,exam
